p,x,k,modulus,merging_count,fraction_pct,diff
2,1,3,8,0,0.0,
2,1,4,16,0,0.0,
2,1,5,32,1,3.125,-2
2,1,6,64,3,4.6875,-2
2,1,7,128,8,6.25,-2
2,1,8,256,19,7.4219,-2
2,1,9,512,42,8.2031,-2
2,1,10,1024,91,8.8867,-2
2,1,11,2048,195,9.5215,-2
2,1,12,4096,414,10.1074,-2
2,1,13,8192,874,10.6689,-2
2,1,14,16384,1834,11.1938,-2
2,1,15,32768,3829,11.6852,-2
2,1,16,65536,7958,12.1429,-2
2,1,17,131072,16490,12.5809,-2
2,1,18,262144,34079,13.0001,-2
2,1,19,524288,70265,13.402,-2
2,1,20,1048576,144605,13.7906,-2
2,1,21,2097152,297107,14.1672,-2
2,1,22,4194304,609505,14.5317,-2
2,1,23,8388608,1248667,14.8853,-2
2,1,24,16777216,2555074,15.2294,-2
2,1,25,33554432,5222500,15.5643,-2
3,1,3,8,0,0.0,
3,1,4,16,0,0.0,
3,1,5,32,0,0.0,
3,1,6,64,0,0.0,
3,1,7,128,0,0.0,
3,1,8,256,0,0.0,
3,1,9,512,1,0.1953,-3
3,1,10,1024,4,0.3906,-3
3,1,11,2048,15,0.7324,-3
3,1,12,4096,44,1.0742,-3
3,1,13,8192,116,1.416,-3
3,1,14,16384,285,1.7395,-3
3,1,15,32768,674,2.0569,-3
3,1,16,65536,1561,2.3819,-3
3,1,17,131072,3543,2.7031,-3
3,1,18,262144,7940,3.0289,-3
3,1,19,524288,17583,3.3537,-3
3,1,20,1048576,38541,3.6756,-3
3,1,21,2097152,83768,3.9944,-3
3,1,22,4194304,180771,4.3099,-3
3,1,23,8388608,387697,4.6217,-3
